1. táblázat
Év;GDP / fő (WUD);GDP / fő (USD);Éves államháztartási többlet %;Államháztartási tartalék %;Éves GDP növekedés (WUD);Éves GDP növekedés (USD);Waikiki teljes állami tartaléka (WUD);Waikiki teljes állami tartaléka (USD);A királyi család személyes vagyona (WUD);A királyi család személyes vagyona (USD);Állami költségvetés és GDP aránya %;Állami költségvetés (USD);Állami bevételek (USD);Összes vagyon (WUD);Összes vagyon (USD);Népesség (millió);Teljes GDP (WUD);Teljes GDP (USD);Éves háztartási bevételek mediánja (WUD);Éves háztartási bevételek mediánja (USD);Ideglenes munkavállalók aránya %;Foglalkoztatottság mértéke %;Éves fizetés növekedés (WUD);Éves fizetés növekedés (USD);Költségvetési megtakarítás (WUD);Állami vagyonváltozás (WUD);WUD / USD árfolyam
2021;77 476 WUD;174 321 USD;0%;58%;6%;5%;9,46 trillió WUD;21,29 trillió USD;4,68 trillió WUD;10,54 trillió USD;28%;10 348 milliárd USD;10 348 milliárd USD;14,15 trillió WUD;31,83 trillió USD;212;16 425 milliárd WUD;36 956 milliárd USD;40 355 WUD;90 799 USD;4%;93%;6%;5%;0,00 trillió WUD;0,00 trillió WUD;2,25
2022;78 220 WUD;193 203 USD;2%;59%;1%;11%;9,78 trillió WUD;24,15 trillió USD;4,91 trillió WUD;12,12 trillió USD;21%;8 642 milliárd USD;9 465 milliárd USD;14,69 trillió WUD;36,27 trillió USD;213;16 661 milliárd WUD;41 152 milliárd USD;40 153 WUD;99 177 USD;5%;92%;-1%;9%;0,33 trillió WUD;0,31 trillió WUD;2,47
2023;79 435 WUD;188 261 USD;1%;59%;2%;-3%;9,94 trillió WUD;23,55 trillió USD;4,92 trillió WUD;11,66 trillió USD;23%;9 051 milliárd USD;9 452 milliárd USD;14,86 trillió WUD;35,21 trillió USD;213;16 920 milliárd WUD;40 100 milliárd USD;42 328 WUD;100 317 USD;5%;93%;5%;1%;0,17 trillió WUD;0,16 trillió WUD;2,37
2024;83 560 WUD;196 366 USD;3%;59%;5%;4%;10,44 trillió WUD;24,53 trillió USD;4,47 trillió WUD;10,51 trillió USD;22%;9 261 milliárd USD;10 516 milliárd USD;14,91 trillió WUD;35,04 trillió USD;213;17 798 milliárd WUD;41 826 milliárd USD;43 829 WUD;102 999 USD;6%;94%;4%;3%;0,53 trillió WUD;0,50 trillió WUD;2,35
2025;85 398 WUD;196 415 USD;4%;61%;2%;0%;11,12 trillió WUD;25,58 trillió USD;4,39 trillió WUD;10,10 trillió USD;22%;9 204 milliárd USD;10 877 milliárd USD;15,51 trillió WUD;35,67 trillió USD;213;18 190 milliárd WUD;41 836 milliárd USD;45 111 WUD;103 755 USD;6%;94%;3%;1%;0,73 trillió WUD;0,68 trillió WUD;2,30
2026;86 640 WUD;200 138 USD;3%;63%;1%;2%;11,64 trillió WUD;26,89 trillió USD;4,43 trillió WUD;10,22 trillió USD;23%;9 750 milliárd USD;11 035 milliárd USD;16,07 trillió WUD;37,11 trillió USD;214;18 541 milliárd WUD;42 830 milliárd USD;45 773 WUD;105 736 USD;6%;94%;1%;2%;0,56 trillió WUD;0,52 trillió WUD;2,31
2027;88 716 WUD;206 708 USD;1%;62%;2%;3%;11,82 trillió WUD;27,53 trillió USD;4,36 trillió WUD;10,16 trillió USD;24%;10 509 milliárd USD;10 951 milliárd USD;16,18 trillió WUD;37,70 trillió USD;214;18 985 milliárd WUD;44 236 milliárd USD;45 984 WUD;107 143 USD;5%;94%;0%;1%;0,19 trillió WUD;0,18 trillió WUD;2,33
2028;90 187 WUD;211 038 USD;3%;64%;2%;2%;12,36 trillió WUD;28,92 trillió USD;4,30 trillió WUD;10,06 trillió USD;24%;10 839 milliárd USD;12 194 milliárd USD;16,66 trillió WUD;38,98 trillió USD;214;19 300 milliárd WUD;45 162 milliárd USD;46 774 WUD;109 451 USD;6%;94%;2%;2%;0,58 trillió WUD;0,54 trillió WUD;2,34
2029;92 675 WUD;218 713 USD;3%;65%;3%;4%;12,91 trillió WUD;30,48 trillió USD;4,35 trillió WUD;10,26 trillió USD;25%;11 757 milliárd USD;13 161 milliárd USD;17,26 trillió WUD;40,73 trillió USD;214;19 832 milliárd WUD;46 805 milliárd USD;47 166 WUD;111 312 USD;6%;93%;1%;2%;0,59 trillió WUD;0,56 trillió WUD;2,36
2030;93 957 WUD;222 678 USD;1%;65%;1%;2%;13,10 trillió WUD;31,05 trillió USD;4,38 trillió WUD;10,37 trillió USD;26%;12 448 milliárd USD;12 926 milliárd USD;17,48 trillió WUD;41,42 trillió USD;215;20 201 milliárd WUD;47 876 milliárd USD;48 760 WUD;115 561 USD;5%;94%;3%;4%;0,20 trillió WUD;0,19 trillió WUD;2,37
2031;96 174 WUD;229 856 USD;3%;66%;2%;3%;13,68 trillió WUD;32,69 trillió USD;4,54 trillió WUD;10,84 trillió USD;26%;12 956 milliárd USD;14 438 milliárd USD;18,22 trillió WUD;43,53 trillió USD;215;20 677 milliárd WUD;49 419 milliárd USD;49 156 WUD;117 483 USD;7%;94%;1%;2%;0,62 trillió WUD;0,58 trillió WUD;2,39
2032;97 797 WUD;235 691 USD;2%;67%;2%;3%;14,07 trillió WUD;33,91 trillió USD;4,56 trillió WUD;11,00 trillió USD;25%;12 668 milliárd USD;13 682 milliárd USD;18,63 trillió WUD;44,91 trillió USD;215;21 026 milliárd WUD;50 674 milliárd USD;50 097 WUD;120 734 USD;5%;95%;2%;3%;0,42 trillió WUD;0,39 trillió WUD;2,41
2033;98 013 WUD;240 132 USD;1%;68%;0%;2%;14,27 trillió WUD;34,95 trillió USD;4,54 trillió WUD;11,13 trillió USD;27%;13 940 milliárd USD;14 457 milliárd USD;18,81 trillió WUD;46,09 trillió USD;215;21 073 milliárd WUD;51 628 milliárd USD;51 697 WUD;126 658 USD;5%;95%;3%;5%;0,21 trillió WUD;0,20 trillió WUD;2,45
2034;100 736 WUD;248 818 USD;3%;69%;3%;4%;14,87 trillió WUD;36,73 trillió USD;4,45 trillió WUD;10,99 trillió USD;28%;14 956 milliárd USD;16 561 milliárd USD;19,32 trillió WUD;47,72 trillió USD;215;21 658 milliárd WUD;53 496 milliárd USD;51 155 WUD;126 353 USD;5%;94%;-1%;-0%;0,65 trillió WUD;0,60 trillió WUD;2,47
2035;102 900 WUD;256 221 USD;1%;68%;2%;3%;15,08 trillió WUD;37,54 trillió USD;4,53 trillió WUD;11,29 trillió USD;27%;14 943 milliárd USD;15 496 milliárd USD;19,61 trillió WUD;48,83 trillió USD;216;22 226 milliárd WUD;55 344 milliárd USD;52 767 WUD;131 390 USD;4%;95%;3%;4%;0,22 trillió WUD;0,21 trillió WUD;2,49
2036;105 549 WUD;263 873 USD;3%;69%;3%;3%;15,71 trillió WUD;39,28 trillió USD;4,58 trillió WUD;11,44 trillió USD;28%;15 959 milliárd USD;17 669 milliárd USD;20,29 trillió WUD;50,72 trillió USD;216;22 799 milliárd WUD;56 996 milliárd USD;53 490 WUD;133 725 USD;4%;94%;1%;2%;0,68 trillió WUD;0,63 trillió WUD;2,50
2037;107 881 WUD;271 860 USD;2%;69%;2%;3%;16,14 trillió WUD;40,68 trillió USD;5,06 trillió WUD;12,76 trillió USD;27%;15 855 milliárd USD;17 029 milliárd USD;21,20 trillió WUD;53,43 trillió USD;216;23 302 milliárd WUD;58 722 milliárd USD;54 221 WUD;136 637 USD;3%;95%;1%;2%;0,47 trillió WUD;0,43 trillió WUD;2,52
2038;110 031 WUD;280 579 USD;2%;70%;2%;3%;16,58 trillió WUD;42,28 trillió USD;5,11 trillió WUD;13,03 trillió USD;28%;16 969 milliárd USD;18 182 milliárd USD;21,69 trillió WUD;55,32 trillió USD;216;23 767 milliárd WUD;60 605 milliárd USD;55 791 WUD;142 267 USD;4%;95%;3%;4%;0,48 trillió WUD;0,44 trillió WUD;2,55
