1. táblázat
Dátum;Waikiki pénzkibocsátás (WUD);Waikiki pénzkibocsátás (USD);Waikiki pénzmennyiség (WUD);Waikiki pénzmennyiség (USD);USA pénzmennyiség (USD);USA pénzkibocsátás (USD);WNB betét alapkamat;FED betét alapkamat;Waikiki 5 éves hitel alapkamat;USA 5 éves hitel alapkamat;Waikiki hitel - betét;USA hitel - betét
2001;82 milliárd WUD;78 milliárd USD;1 564 milliárd WUD;1 480 milliárd USD;4 975 milliárd USD;51 milliárd USD;1,92%;5,95%;4,47%;7,76%;2,55%;1,81%
2001. február;4 milliárd WUD;4 milliárd USD;1 568 milliárd WUD;1 522 milliárd USD;5 014 milliárd USD;38 milliárd USD;1,83%;5,47%;4,48%;7,44%;2,65%;1,98%
2001. március;29 milliárd WUD;29 milliárd USD;1 597 milliárd WUD;1 558 milliárd USD;5 071 milliárd USD;58 milliárd USD;1,90%;5,31%;4,60%;7,24%;2,70%;1,93%
2001. április;30 milliárd WUD;30 milliárd USD;1 627 milliárd WUD;1 628 milliárd USD;5 135 milliárd USD;64 milliárd USD;1,78%;4,78%;4,58%;6,99%;2,80%;2,20%
2001. május;45 milliárd WUD;41 milliárd USD;1 672 milliárd WUD;1 530 milliárd USD;5 132 milliárd USD;-3 milliárd USD;1,84%;4,25%;4,64%;6,79%;2,80%;2,53%
2001. június;6 milliárd WUD;6 milliárd USD;1 678 milliárd WUD;1 594 milliárd USD;5 173 milliárd USD;40 milliárd USD;1,85%;4,02%;4,55%;6,58%;2,70%;2,57%
2001. július;33 milliárd WUD;32 milliárd USD;1 711 milliárd WUD;1 668 milliárd USD;5 202 milliárd USD;30 milliárd USD;1,79%;3,81%;4,54%;6,43%;2,75%;2,62%
2001. augusztus;33 milliárd WUD;32 milliárd USD;1 745 milliárd WUD;1 657 milliárd USD;5 236 milliárd USD;34 milliárd USD;1,69%;3,64%;4,39%;6,23%;2,70%;2,59%
2001. szeptember;30 milliárd WUD;30 milliárd USD;1 775 milliárd WUD;1 800 milliárd USD;5 347 milliárd USD;111 milliárd USD;1,63%;3,05%;4,48%;5,93%;2,85%;2,87%
2001. október;96 milliárd WUD;95 milliárd USD;1 870 milliárd WUD;1 850 milliárd USD;5 336 milliárd USD;-11 milliárd USD;1,66%;2,45%;4,46%;5,42%;2,80%;2,97%
2001. november;61 milliárd WUD;58 milliárd USD;1 931 milliárd WUD;1 843 milliárd USD;5 380 milliárd USD;44 milliárd USD;1,72%;2,11%;4,62%;5,22%;2,90%;3,12%
2001. december;42 milliárd WUD;44 milliárd USD;1 974 milliárd WUD;2 051 milliárd USD;5 433 milliárd USD;53 milliárd USD;1,60%;1,77%;4,55%;5,24%;2,95%;3,46%
2002;39 milliárd WUD;39 milliárd USD;2 013 milliárd WUD;2 001 milliárd USD;5 453 milliárd USD;20 milliárd USD;1,59%;1,77%;4,74%;5,17%;3,15%;3,40%
2002. február;18 milliárd WUD;19 milliárd USD;2 031 milliárd WUD;2 131 milliárd USD;5 482 milliárd USD;29 milliárd USD;1,50%;1,74%;4,80%;5,14%;3,30%;3,41%
2002. március;38 milliárd WUD;38 milliárd USD;2 069 milliárd WUD;2 057 milliárd USD;5 494 milliárd USD;12 milliárd USD;1,50%;1,68%;4,65%;5,28%;3,15%;3,60%
2002. április;40 milliárd WUD;38 milliárd USD;2 109 milliárd WUD;2 023 milliárd USD;5 494 milliárd USD;0 milliárd USD;1,71%;1,81%;4,71%;5,24%;3,00%;3,43%
2002. május;34 milliárd WUD;35 milliárd USD;2 143 milliárd WUD;2 216 milliárd USD;5 521 milliárd USD;26 milliárd USD;1,65%;1,75%;4,60%;5,18%;2,95%;3,43%
2002. június;9 milliárd WUD;9 milliárd USD;2 152 milliárd WUD;2 258 milliárd USD;5 546 milliárd USD;25 milliárd USD;1,61%;1,71%;4,46%;4,98%;2,85%;3,27%
2002. július;4 milliárd WUD;4 milliárd USD;2 156 milliárd WUD;2 101 milliárd USD;5 588 milliárd USD;43 milliárd USD;1,59%;1,72%;4,59%;4,88%;3,00%;3,17%
2002. augusztus;38 milliárd WUD;40 milliárd USD;2 194 milliárd WUD;2 303 milliárd USD;5 631 milliárd USD;42 milliárd USD;1,63%;1,72%;4,58%;4,75%;2,95%;3,02%
2002. szeptember;17 milliárd WUD;17 milliárd USD;2 211 milliárd WUD;2 178 milliárd USD;5 655 milliárd USD;24 milliárd USD;1,60%;1,75%;4,50%;4,56%;2,90%;2,82%
2002. október;65 milliárd WUD;68 milliárd USD;2 276 milliárd WUD;2 390 milliárd USD;5 700 milliárd USD;45 milliárd USD;1,62%;1,72%;4,47%;4,66%;2,85%;2,94%
2002. november;17 milliárd WUD;18 milliárd USD;2 293 milliárd WUD;2 443 milliárd USD;5 750 milliárd USD;50 milliárd USD;1,58%;1,32%;4,58%;4,42%;3,00%;3,11%
2002. december;8 milliárd WUD;9 milliárd USD;2 301 milliárd WUD;2 372 milliárd USD;5 771 milliárd USD;21 milliárd USD;1,53%;1,22%;4,48%;4,28%;2,95%;3,06%
2003;15 milliárd WUD;15 milliárd USD;2 316 milliárd WUD;2 329 milliárd USD;5 804 milliárd USD;33 milliárd USD;1,59%;1,28%;4,54%;4,26%;2,95%;2,97%
2003. február;10 milliárd WUD;11 milliárd USD;2 326 milliárd WUD;2 538 milliárd USD;5 840 milliárd USD;36 milliárd USD;1,46%;1,22%;4,36%;4,09%;2,90%;2,87%
2003. március;20 milliárd WUD;21 milliárd USD;2 346 milliárd WUD;2 479 milliárd USD;5 860 milliárd USD;21 milliárd USD;1,54%;1,29%;4,39%;4,06%;2,85%;2,76%
2003. április;59 milliárd WUD;63 milliárd USD;2 405 milliárd WUD;2 602 milliárd USD;5 898 milliárd USD;37 milliárd USD;1,43%;1,24%;4,18%;4,05%;2,75%;2,81%
2003. május;35 milliárd WUD;39 milliárd USD;2 440 milliárd WUD;2 702 milliárd USD;5 958 milliárd USD;60 milliárd USD;1,40%;1,26%;4,15%;3,82%;2,75%;2,55%
2003. június;20 milliárd WUD;22 milliárd USD;2 460 milliárd WUD;2 639 milliárd USD;5 995 milliárd USD;37 milliárd USD;1,30%;1,17%;3,85%;3,64%;2,55%;2,47%
2003. július;14 milliárd WUD;16 milliárd USD;2 474 milliárd WUD;2 767 milliárd USD;6 041 milliárd USD;47 milliárd USD;1,37%;1,03%;3,92%;3,83%;2,55%;2,79%
2003. augusztus;52 milliárd WUD;57 milliárd USD;2 526 milliárd WUD;2 763 milliárd USD;6 100 milliárd USD;58 milliárd USD;1,27%;1,00%;3,92%;4,08%;2,65%;3,09%
2003. szeptember;55 milliárd WUD;59 milliárd USD;2 581 milliárd WUD;2 811 milliárd USD;6 072 milliárd USD;-28 milliárd USD;1,25%;0,96%;3,45%;3,96%;2,20%;2,99%
2003. október;34 milliárd WUD;37 milliárd USD;2 615 milliárd WUD;2 836 milliárd USD;6 063 milliárd USD;-9 milliárd USD;1,16%;0,97%;3,56%;3,93%;2,40%;2,97%
2003. november;28 milliárd WUD;30 milliárd USD;2 643 milliárd WUD;2 828 milliárd USD;6 068 milliárd USD;5 milliárd USD;1,22%;1,02%;3,57%;3,99%;2,35%;2,98%
2003. december;23 milliárd WUD;25 milliárd USD;2 666 milliárd WUD;2 921 milliárd USD;6 066 milliárd USD;-2 milliárd USD;1,19%;1,02%;3,44%;3,99%;2,25%;2,96%
2004;12 milliárd WUD;13 milliárd USD;2 678 milliárd WUD;2 949 milliárd USD;6 074 milliárd USD;9 milliárd USD;1,06%;0,96%;3,26%;3,86%;2,20%;2,90%
2004. február;24 milliárd WUD;27 milliárd USD;2 702 milliárd WUD;3 126 milliárd USD;6 113 milliárd USD;39 milliárd USD;1,06%;0,97%;3,16%;3,84%;2,10%;2,88%
2004. március;2 milliárd WUD;3 milliárd USD;2 704 milliárd WUD;3 144 milliárd USD;6 149 milliárd USD;36 milliárd USD;1,04%;0,99%;3,09%;3,72%;2,05%;2,73%
2004. április;38 milliárd WUD;41 milliárd USD;2 742 milliárd WUD;3 011 milliárd USD;6 190 milliárd USD;41 milliárd USD;0,98%;0,98%;3,13%;4,01%;2,15%;3,02%
2004. május;52 milliárd WUD;60 milliárd USD;2 794 milliárd WUD;3 224 milliárd USD;6 267 milliárd USD;77 milliárd USD;1,04%;1,04%;3,14%;4,30%;2,10%;3,25%
2004. június;15 milliárd WUD;18 milliárd USD;2 809 milliárd WUD;3 258 milliárd USD;6 269 milliárd USD;2 milliárd USD;0,92%;1,00%;3,07%;4,31%;2,15%;3,31%
2004. július;11 milliárd WUD;13 milliárd USD;2 820 milliárd WUD;3 371 milliárd USD;6 283 milliárd USD;14 milliárd USD;0,96%;1,27%;3,11%;4,33%;2,15%;3,06%
2004. augusztus;35 milliárd WUD;39 milliárd USD;2 855 milliárd WUD;3 173 milliárd USD;6 309 milliárd USD;26 milliárd USD;0,92%;1,45%;3,02%;4,33%;2,10%;2,88%
2004. szeptember;59 milliárd WUD;71 milliárd USD;2 914 milliárd WUD;3 489 milliárd USD;6 344 milliárd USD;35 milliárd USD;0,84%;1,60%;2,94%;4,31%;2,10%;2,71%
2004. október;19 milliárd WUD;22 milliárd USD;2 933 milliárd WUD;3 470 milliárd USD;6 372 milliárd USD;28 milliárd USD;0,89%;1,80%;2,94%;4,41%;2,05%;2,60%
2004. november;22 milliárd WUD;25 milliárd USD;2 955 milliárd WUD;3 336 milliárd USD;6 399 milliárd USD;27 milliárd USD;0,80%;1,93%;2,80%;4,53%;2,00%;2,61%
2004. december;13 milliárd WUD;16 milliárd USD;2 968 milliárd WUD;3 517 milliárd USD;6 417 milliárd USD;19 milliárd USD;0,82%;2,13%;2,82%;4,65%;2,00%;2,51%
2005;25 milliárd WUD;31 milliárd USD;2 994 milliárd WUD;3 625 milliárd USD;6 423 milliárd USD;6 milliárd USD;0,87%;2,30%;2,77%;4,76%;1,90%;2,47%
2005. február;36 milliárd WUD;45 milliárd USD;3 030 milliárd WUD;3 747 milliárd USD;6 432 milliárd USD;8 milliárd USD;0,90%;2,50%;2,70%;4,90%;1,80%;2,39%
2005. március;14 milliárd WUD;17 milliárd USD;3 044 milliárd WUD;3 722 milliárd USD;6 441 milliárd USD;9 milliárd USD;0,91%;2,64%;2,71%;5,14%;1,80%;2,50%
2005. április;61 milliárd WUD;73 milliárd USD;3 105 milliárd WUD;3 723 milliárd USD;6 455 milliárd USD;14 milliárd USD;0,81%;2,75%;2,61%;5,18%;1,80%;2,43%
2005. május;11 milliárd WUD;14 milliárd USD;3 116 milliárd WUD;3 911 milliárd USD;6 472 milliárd USD;17 milliárd USD;0,85%;3,00%;2,60%;5,25%;1,75%;2,25%
2005. június;29 milliárd WUD;35 milliárd USD;3 145 milliárd WUD;3 777 milliárd USD;6 504 milliárd USD;32 milliárd USD;0,79%;3,03%;2,59%;5,21%;1,80%;2,19%
2005. július;39 milliárd WUD;47 milliárd USD;3 184 milliárd WUD;3 844 milliárd USD;6 536 milliárd USD;32 milliárd USD;0,81%;3,22%;2,46%;5,41%;1,65%;2,20%
2005. augusztus;50 milliárd WUD;62 milliárd USD;3 234 milliárd WUD;4 021 milliárd USD;6 569 milliárd USD;33 milliárd USD;0,89%;3,49%;2,39%;5,58%;1,50%;2,08%
2005. szeptember;7 milliárd WUD;9 milliárd USD;3 241 milliárd WUD;4 082 milliárd USD;6 603 milliárd USD;34 milliárd USD;0,85%;3,62%;2,30%;5,62%;1,45%;1,99%
2005. október;9 milliárd WUD;11 milliárd USD;3 250 milliárd WUD;4 081 milliárd USD;6 637 milliárd USD;34 milliárd USD;0,87%;3,80%;2,12%;5,87%;1,25%;2,07%
2005. november;53 milliárd WUD;66 milliárd USD;3 303 milliárd WUD;4 070 milliárd USD;6 653 milliárd USD;16 milliárd USD;0,85%;4,05%;2,10%;6,09%;1,25%;2,04%
2005. december;31 milliárd WUD;38 milliárd USD;3 334 milliárd WUD;4 195 milliárd USD;6 680 milliárd USD;27 milliárd USD;0,83%;4,14%;1,88%;6,11%;1,05%;1,97%
2006;9 milliárd WUD;11 milliárd USD;3 343 milliárd WUD;4 161 milliárd USD;6 723 milliárd USD;42 milliárd USD;0,91%;4,30%;2,01%;6,16%;1,10%;1,87%
2006. február;38 milliárd WUD;50 milliárd USD;3 381 milliárd WUD;4 432 milliárd USD;6 747 milliárd USD;24 milliárd USD;0,96%;4,50%;2,06%;6,38%;1,10%;1,89%
2006. március;29 milliárd WUD;37 milliárd USD;3 410 milliárd WUD;4 288 milliárd USD;6 761 milliárd USD;14 milliárd USD;0,99%;4,63%;2,24%;6,48%;1,25%;1,84%
2006. április;76 milliárd WUD;100 milliárd USD;3 486 milliárd WUD;4 580 milliárd USD;6 799 milliárd USD;37 milliárd USD;0,97%;4,76%;2,22%;6,65%;1,25%;1,88%
2006. május;30 milliárd WUD;40 milliárd USD;3 516 milliárd WUD;4 642 milliárd USD;6 805 milliárd USD;7 milliárd USD;0,98%;4,92%;2,33%;6,79%;1,35%;1,86%
2006. június;76 milliárd WUD;96 milliárd USD;3 592 milliárd WUD;4 551 milliárd USD;6 843 milliárd USD;38 milliárd USD;1,02%;4,96%;2,37%;6,88%;1,35%;1,92%
2006. július;26 milliárd WUD;33 milliárd USD;3 618 milliárd WUD;4 679 milliárd USD;6 885 milliárd USD;41 milliárd USD;1,20%;5,29%;2,55%;7,02%;1,35%;1,74%
2006. augusztus;67 milliárd WUD;89 milliárd USD;3 685 milliárd WUD;4 901 milliárd USD;6 915 milliárd USD;31 milliárd USD;1,16%;5,21%;2,61%;6,87%;1,45%;1,65%
2006. szeptember;17 milliárd WUD;23 milliárd USD;3 702 milliárd WUD;4 985 milliárd USD;6 943 milliárd USD;27 milliárd USD;1,33%;5,28%;2,88%;6,82%;1,55%;1,54%
2006. október;26 milliárd WUD;34 milliárd USD;3 728 milliárd WUD;4 858 milliárd USD;6 992 milliárd USD;49 milliárd USD;1,25%;5,25%;2,90%;6,80%;1,65%;1,56%
2006. november;24 milliárd WUD;33 milliárd USD;3 752 milliárd WUD;5 177 milliárd USD;7 027 milliárd USD;35 milliárd USD;1,32%;5,22%;2,97%;6,73%;1,65%;1,51%
2006. december;23 milliárd WUD;30 milliárd USD;3 775 milliárd WUD;4 969 milliárd USD;7 070 milliárd USD;43 milliárd USD;1,43%;5,27%;3,23%;6,71%;1,80%;1,45%
2007;53 milliárd WUD;68 milliárd USD;3 828 milliárd WUD;4 949 milliárd USD;7 107 milliárd USD;38 milliárd USD;1,42%;5,22%;3,22%;6,79%;1,80%;1,56%
2007. február;21 milliárd WUD;27 milliárd USD;3 848 milliárd WUD;5 002 milliárd USD;7 123 milliárd USD;16 milliárd USD;1,44%;5,25%;3,34%;6,76%;1,90%;1,52%
2007. március;20 milliárd WUD;27 milliárd USD;3 868 milliárd WUD;5 209 milliárd USD;7 157 milliárd USD;34 milliárd USD;1,51%;5,22%;3,46%;6,67%;1,95%;1,45%
2007. április;70 milliárd WUD;96 milliárd USD;3 938 milliárd WUD;5 409 milliárd USD;7 229 milliárd USD;72 milliárd USD;1,70%;5,25%;3,65%;6,75%;1,95%;1,51%
2007. május;9 milliárd WUD;12 milliárd USD;3 947 milliárd WUD;5 369 milliárd USD;7 243 milliárd USD;14 milliárd USD;1,69%;5,24%;3,79%;6,79%;2,10%;1,56%
2007. június;60 milliárd WUD;83 milliárd USD;4 007 milliárd WUD;5 558 milliárd USD;7 276 milliárd USD;33 milliárd USD;1,76%;5,21%;3,86%;6,97%;2,10%;1,76%
2007. július;9 milliárd WUD;13 milliárd USD;4 016 milliárd WUD;5 638 milliárd USD;7 307 milliárd USD;30 milliárd USD;1,88%;5,24%;3,93%;6,97%;2,05%;1,73%
2007. augusztus;11 milliárd WUD;15 milliárd USD;4 027 milliárd WUD;5 641 milliárd USD;7 383 milliárd USD;76 milliárd USD;1,82%;5,04%;4,22%;6,93%;2,40%;1,89%
2007. szeptember;52 milliárd WUD;74 milliárd USD;4 079 milliárd WUD;5 784 milliárd USD;7 401 milliárd USD;18 milliárd USD;1,77%;4,91%;4,32%;6,75%;2,55%;1,84%
2007. október;47 milliárd WUD;65 milliárd USD;4 126 milliárd WUD;5 715 milliárd USD;7 415 milliárd USD;14 milliárd USD;1,83%;4,74%;4,43%;6,55%;2,60%;1,81%
2007. november;2 milliárd WUD;3 milliárd USD;4 128 milliárd WUD;5 912 milliárd USD;7 440 milliárd USD;25 milliárd USD;1,91%;4,51%;4,52%;6,37%;2,61%;1,87%
2007. december;34 milliárd WUD;50 milliárd USD;4 162 milliárd WUD;6 074 milliárd USD;7 469 milliárd USD;30 milliárd USD;1,96%;4,22%;4,58%;6,28%;2,62%;2,07%
2008;38 milliárd WUD;55 milliárd USD;4 201 milliárd WUD;5 992 milliárd USD;7 503 milliárd USD;34 milliárd USD;2,08%;3,95%;4,66%;5,93%;2,58%;1,98%
2008. február;20 milliárd WUD;29 milliárd USD;4 220 milliárd WUD;6 219 milliárd USD;7 588 milliárd USD;85 milliárd USD;2,06%;2,97%;4,84%;5,41%;2,78%;2,43%
2008. március;6 milliárd WUD;9 milliárd USD;4 227 milliárd WUD;6 174 milliárd USD;7 653 milliárd USD;66 milliárd USD;2,16%;2,66%;5,05%;5,37%;2,89%;2,71%
2008. április;58 milliárd WUD;82 milliárd USD;4 284 milliárd WUD;6 117 milliárd USD;7 696 milliárd USD;43 milliárd USD;2,07%;2,24%;5,06%;5,20%;2,98%;2,97%
2008. május;1 milliárd WUD;2 milliárd USD;4 285 milliárd WUD;6 236 milliárd USD;7 708 milliárd USD;12 milliárd USD;2,18%;2,00%;5,17%;5,15%;2,99%;3,15%
2008. június;3 milliárd WUD;5 milliárd USD;4 289 milliárd WUD;6 315 milliárd USD;7 726 milliárd USD;18 milliárd USD;2,13%;1,96%;5,16%;5,31%;3,04%;3,34%
2008. július;30 milliárd WUD;44 milliárd USD;4 318 milliárd WUD;6 347 milliárd USD;7 772 milliárd USD;46 milliárd USD;2,27%;2,03%;5,27%;5,48%;3,00%;3,45%
2008. augusztus;43 milliárd WUD;64 milliárd USD;4 361 milliárd WUD;6 486 milliárd USD;7 787 milliárd USD;15 milliárd USD;2,30%;2,00%;5,30%;5,48%;3,01%;3,48%
2008. szeptember;41 milliárd WUD;62 milliárd USD;4 402 milliárd WUD;6 580 milliárd USD;7 857 milliárd USD;70 milliárd USD;2,36%;1,78%;5,32%;5,78%;2,96%;4,01%
2008. október;21 milliárd WUD;32 milliárd USD;4 424 milliárd WUD;6 645 milliárd USD;7 963 milliárd USD;107 milliárd USD;2,40%;0,94%;5,47%;6,31%;3,07%;5,37%
2008. november;52 milliárd WUD;75 milliárd USD;4 475 milliárd WUD;6 532 milliárd USD;8 014 milliárd USD;50 milliárd USD;2,51%;0,38%;5,59%;5,80%;3,08%;5,42%
2008. december;17 milliárd WUD;26 milliárd USD;4 492 milliárd WUD;6 905 milliárd USD;8 190 milliárd USD;176 milliárd USD;2,67%;0,18%;5,67%;5,24%;3,00%;5,06%
2009;20 milliárd WUD;29 milliárd USD;4 512 milliárd WUD;6 609 milliárd USD;8 271 milliárd USD;82 milliárd USD;2,68%;0,12%;5,54%;4,53%;2,86%;4,41%
2009. február;82 milliárd WUD;121 milliárd USD;4 594 milliárd WUD;6 764 milliárd USD;8 301 milliárd USD;29 milliárd USD;2,76%;0,19%;5,53%;4,67%;2,76%;4,48%
2009. március;5 milliárd WUD;8 milliárd USD;4 599 milliárd WUD;6 807 milliárd USD;8 367 milliárd USD;66 milliárd USD;2,86%;0,16%;5,66%;4,98%;2,80%;4,82%
2009. április;32 milliárd WUD;49 milliárd USD;4 631 milliárd WUD;7 121 milliárd USD;8 370 milliárd USD;3 milliárd USD;2,85%;0,17%;5,85%;4,68%;3,00%;4,51%
2009. május;32 milliárd WUD;51 milliárd USD;4 663 milliárd WUD;7 393 milliárd USD;8 428 milliárd USD;58 milliárd USD;2,82%;0,22%;5,91%;4,37%;3,09%;4,16%
2009. június;49 milliárd WUD;77 milliárd USD;4 712 milliárd WUD;7 414 milliárd USD;8 437 milliárd USD;10 milliárd USD;2,73%;0,25%;5,95%;4,23%;3,22%;3,98%
2009. július;2 milliárd WUD;3 milliárd USD;4 714 milliárd WUD;7 123 milliárd USD;8 442 milliárd USD;5 milliárd USD;2,66%;0,12%;5,89%;3,91%;3,22%;3,79%
2009. augusztus;62 milliárd WUD;94 milliárd USD;4 777 milliárd WUD;7 255 milliárd USD;8 442 milliárd USD;-0 milliárd USD;2,69%;0,20%;6,03%;3,78%;3,34%;3,58%
2009. szeptember;18 milliárd WUD;28 milliárd USD;4 794 milliárd WUD;7 703 milliárd USD;8 441 milliárd USD;-1 milliárd USD;2,67%;0,17%;6,05%;3,60%;3,38%;3,43%
2009. október;18 milliárd WUD;29 milliárd USD;4 812 milliárd WUD;7 674 milliárd USD;8 468 milliárd USD;27 milliárd USD;2,64%;0,15%;6,10%;3,57%;3,47%;3,42%
2009. november;42 milliárd WUD;66 milliárd USD;4 854 milliárd WUD;7 682 milliárd USD;8 498 milliárd USD;30 milliárd USD;2,74%;0,17%;6,08%;3,48%;3,34%;3,32%
2009. december;47 milliárd WUD;75 milliárd USD;4 900 milliárd WUD;7 892 milliárd USD;8 493 milliárd USD;-5 milliárd USD;2,71%;0,08%;6,01%;3,45%;3,30%;3,37%
2010;21 milliárd WUD;32 milliárd USD;4 921 milliárd WUD;7 670 milliárd USD;8 455 milliárd USD;-38 milliárd USD;2,67%;0,07%;5,97%;3,44%;3,30%;3,37%
2010. február;27 milliárd WUD;44 milliárd USD;4 948 milliárd WUD;7 999 milliárd USD;8 505 milliárd USD;50 milliárd USD;2,68%;0,15%;6,10%;3,50%;3,42%;3,34%
2010. március;72 milliárd WUD;114 milliárd USD;5 020 milliárd WUD;7 956 milliárd USD;8 502 milliárd USD;-3 milliárd USD;2,63%;0,18%;6,26%;3,48%;3,63%;3,30%
2010. április;4 milliárd WUD;7 milliárd USD;5 024 milliárd WUD;8 054 milliárd USD;8 533 milliárd USD;31 milliárd USD;2,68%;0,23%;6,23%;3,49%;3,54%;3,25%
2010. május;28 milliárd WUD;46 milliárd USD;5 052 milliárd WUD;8 393 milliárd USD;8 588 milliárd USD;55 milliárd USD;2,71%;0,21%;6,25%;3,45%;3,54%;3,23%
2010. június;65 milliárd WUD;105 milliárd USD;5 118 milliárd WUD;8 185 milliárd USD;8 607 milliárd USD;19 milliárd USD;2,75%;0,19%;6,17%;3,43%;3,41%;3,24%
2010. július;21 milliárd WUD;35 milliárd USD;5 139 milliárd WUD;8 314 milliárd USD;8 616 milliárd USD;10 milliárd USD;2,81%;0,21%;6,14%;3,25%;3,33%;3,05%
2010. augusztus;42 milliárd WUD;68 milliárd USD;5 181 milliárd WUD;8 373 milliárd USD;8 667 milliárd USD;50 milliárd USD;2,76%;0,21%;6,02%;3,08%;3,25%;2,86%
2010. szeptember;1 milliárd WUD;1 milliárd USD;5 181 milliárd WUD;8 728 milliárd USD;8 698 milliárd USD;31 milliárd USD;2,74%;0,18%;5,95%;3,05%;3,22%;2,86%
2010. október;20 milliárd WUD;33 milliárd USD;5 202 milliárd WUD;8 598 milliárd USD;8 747 milliárd USD;49 milliárd USD;2,66%;0,14%;5,80%;2,91%;3,14%;2,76%
2010. november;75 milliárd WUD;124 milliárd USD;5 276 milliárd WUD;8 766 milliárd USD;8 768 milliárd USD;21 milliárd USD;2,65%;0,23%;5,91%;3,02%;3,27%;2,80%
2010. december;15 milliárd WUD;27 milliárd USD;5 292 milliárd WUD;9 259 milliárd USD;8 799 milliárd USD;32 milliárd USD;2,62%;0,14%;5,85%;3,26%;3,23%;3,13%
2011;58 milliárd WUD;98 milliárd USD;5 349 milliárd WUD;9 085 milliárd USD;8 820 milliárd USD;21 milliárd USD;2,68%;0,15%;5,87%;3,24%;3,18%;3,09%
2011. február;38 milliárd WUD;64 milliárd USD;5 387 milliárd WUD;9 034 milliárd USD;8 884 milliárd USD;64 milliárd USD;2,62%;0,18%;5,93%;3,33%;3,31%;3,15%
2011. március;52 milliárd WUD;90 milliárd USD;5 439 milliárd WUD;9 494 milliárd USD;8 941 milliárd USD;56 milliárd USD;2,49%;0,11%;5,90%;3,24%;3,40%;3,12%
2011. április;21 milliárd WUD;37 milliárd USD;5 460 milliárd WUD;9 360 milliárd USD;9 002 milliárd USD;62 milliárd USD;2,48%;0,11%;5,97%;3,26%;3,48%;3,16%
2011. május;6 milliárd WUD;11 milliárd USD;5 466 milliárd WUD;9 637 milliárd USD;9 073 milliárd USD;71 milliárd USD;2,48%;0,10%;6,01%;3,13%;3,52%;3,03%
2011. június;62 milliárd WUD;109 milliárd USD;5 528 milliárd WUD;9 739 milliárd USD;9 148 milliárd USD;76 milliárd USD;2,47%;0,09%;6,00%;3,10%;3,53%;3,01%
2011. július;30 milliárd WUD;54 milliárd USD;5 558 milliárd WUD;10 063 milliárd USD;9 314 milliárd USD;165 milliárd USD;2,40%;0,04%;5,94%;3,08%;3,53%;3,05%
