1. táblázat
Dátum;USD / EUR;WUD / EUR;WUD / USD;USD / WUD;EUR / WUD;EUR / HUF;WUD / HUF
2003. június;0,86;0,92;1,07;0,93;1,09;266;244
2003. július;0,88;0,98;1,12;0,89;1,02;264;260
2003. augusztus;0,90;0,98;1,09;0,91;1,02;257;252
2003. szeptember;0,89;0,97;1,09;0,92;1,03;254;246
2003. október;0,85;0,93;1,08;0,92;1,08;260;241
2003. november;0,85;0,91;1,07;0,93;1,09;262;239
2003. december;0,81;0,89;1,10;0,91;1,12;263;234
2004;0,79;0,87;1,10;0,91;1,15;263;229
2004. február;0,79;0,92;1,16;0,86;1,09;256;234
2004. március;0,82;0,95;1,16;0,86;1,05;248;235
2004. április;0,83;0,92;1,10;0,91;1,09;250;229
2004. május;0,83;0,96;1,15;0,87;1,04;251;241
2004. június;0,82;0,95;1,16;0,86;1,05;250;239
2004. július;0,82;0,97;1,20;0,84;1,03;248;242
2004. augusztus;0,82;0,91;1,11;0,90;1,10;248;226
2004. szeptember;0,82;0,98;1,20;0,84;1,02;245;240
2004. október;0,80;0,95;1,18;0,85;1,06;245;232
2004. november;0,77;0,87;1,13;0,89;1,15;245;213
2004. december;0,75;0,88;1,18;0,84;1,13;245;217
2005;0,76;0,92;1,21;0,83;1,08;245;226
2005. február;0,77;0,95;1,24;0,81;1,05;241;229
2005. március;0,76;0,93;1,22;0,82;1,08;247;229
2005. április;0,77;0,93;1,20;0,83;1,08;252;233
2005. május;0,79;0,99;1,25;0,80;1,01;253;250
2005. június;0,82;0,99;1,20;0,83;1,01;247;244
2005. július;0,83;1,00;1,21;0,83;1,00;244;245
2005. augusztus;0,81;1,01;1,24;0,80;0,99;244;247
2005. szeptember;0,82;1,03;1,26;0,79;0,97;249;256
2005. október;0,83;1,04;1,26;0,80;0,96;250;261
2005. november;0,85;1,05;1,23;0,81;0,96;253;264
2005. december;0,84;1,06;1,26;0,79;0,94;252;267
2006;0,82;1,03;1,24;0,80;0,97;251;258
2006. február;0,84;1,10;1,31;0,76;0,91;253;278
2006. március;0,83;1,05;1,26;0,80;0,96;263;275
2006. április;0,81;1,07;1,31;0,76;0,93;263;282
2006. május;0,78;1,03;1,32;0,76;0,97;263;272
2006. június;0,79;1,00;1,27;0,79;1,00;283;283
2006. július;0,79;1,02;1,29;0,77;0,98;272;277
2006. augusztus;0,78;1,04;1,33;0,75;0,96;276;287
2006. szeptember;0,79;1,06;1,35;0,74;0,94;272;288
2006. október;0,79;1,03;1,30;0,77;0,97;260;269
2006. november;0,78;1,07;1,38;0,72;0,93;256;274
2006. december;0,76;1,00;1,32;0,76;1,00;251;250
2007;0,77;1,00;1,29;0,77;1,00;255;254
2007. február;0,76;0,99;1,30;0,77;1,01;254;252
2007. március;0,75;1,02;1,35;0,74;0,98;247;251
2007. április;0,74;1,02;1,37;0,73;0,98;247;251
2007. május;0,74;1,01;1,36;0,74;0,99;250;252
2007. június;0,75;1,03;1,39;0,72;0,97;246;254
2007. július;0,73;1,02;1,40;0,71;0,98;252;258
2007. augusztus;0,73;1,03;1,40;0,71;0,97;254;261
2007. szeptember;0,72;1,02;1,42;0,71;0,98;251;256
2007. október;0,70;0,97;1,39;0,72;1,03;250;243
2007. november;0,68;0,98;1,43;0,70;1,03;253;247
2007. december;0,69;1,00;1,46;0,69;1,00;252;253
2008;0,68;0,97;1,43;0,70;1,03;258;250
2008. február;0,68;1,00;1,47;0,68;1,00;264;264
2008. március;0,64;0,94;1,46;0,68;1,06;261;246
2008. április;0,63;0,91;1,43;0,70;1,10;252;228
2008. május;0,64;0,94;1,46;0,69;1,07;240;225
2008. június;0,64;0,95;1,47;0,68;1,06;235;222
2008. július;0,63;0,93;1,47;0,68;1,07;234;218
2008. augusztus;0,67;0,99;1,49;0,67;1,01;236;235
2008. szeptember;0,70;1,04;1,49;0,67;0,96;242;252
2008. október;0,75;1,13;1,50;0,67;0,88;255;289
2008. november;0,78;1,15;1,46;0,69;0,87;258;296
2008. december;0,74;1,14;1,54;0,65;0,88;265;301
2009;0,76;1,11;1,46;0,68;0,90;297;328
2009. február;0,78;1,15;1,47;0,68;0,87;299;344
2009. március;0,77;1,13;1,48;0,68;0,88;308;349
2009. április;0,76;1,17;1,54;0,65;0,86;288;336
2009. május;0,73;1,16;1,59;0,63;0,86;283;329
2009. június;0,71;1,12;1,57;0,64;0,89;272;305
2009. július;0,71;1,07;1,51;0,66;0,93;266;285
2009. augusztus;0,70;1,06;1,52;0,66;0,94;272;290
2009. szeptember;0,69;1,10;1,61;0,62;0,91;269;297
2009. október;0,67;1,08;1,59;0,63;0,93;274;295
2009. november;0,67;1,06;1,58;0,63;0,94;274;291
2009. december;0,69;1,10;1,61;0,62;0,91;270;298
2010;0,70;1,09;1,56;0,64;0,92;271;296
2010. február;0,73;1,18;1,62;0,62;0,85;269;318
2010. március;0,74;1,17;1,58;0,63;0,86;265;309
2010. április;0,75;1,19;1,60;0,62;0,84;269;321
2010. május;0,80;1,32;1,66;0,60;0,76;275;364
2010. június;0,82;1,31;1,60;0,63;0,76;285;373
2010. július;0,78;1,26;1,62;0,62;0,79;283;357
2010. augusztus;0,78;1,25;1,62;0,62;0,80;286;358
2010. szeptember;0,76;1,29;1,68;0,59;0,78;276;355
2010. október;0,72;1,19;1,65;0,61;0,84;271;322
2010. november;0,73;1,22;1,66;0,60;0,82;281;342
2010. december;0,76;1,32;1,75;0,57;0,76;278;368
2011;0,75;1,27;1,70;0,59;0,79;272;345
2011. február;0,73;1,23;1,68;0,60;0,81;271;333
2011. március;0,71;1,25;1,75;0,57;0,80;265;330
2011. április;0,69;1,19;1,71;0,58;0,84;263;312
2011. május;0,70;1,23;1,76;0,57;0,81;266;327
2011. június;0,69;1,22;1,76;0,57;0,82;265;324
2011. július;0,70;1,27;1,81;0,55;0,79;269;341
2011. augusztus;0,70;1,22;1,75;0,57;0,82;270;330
2011. szeptember;0,73;1,27;1,75;0,57;0,79;292;371
2011. október;0,73;1,27;1,75;0,57;0,79;304;387
2011. november;0,74;1,36;1,85;0,54;0,73;302;411
2011. december;0,76;1,40;1,85;0,54;0,71;314;440
2012;0,77;1,39;1,79;0,56;0,72;294;409
2012. február;0,76;1,35;1,78;0,56;0,74;288;388
2012. március;0,76;1,40;1,84;0,54;0,72;294;410
2012. április;0,76;1,41;1,85;0,54;0,71;286;402
2012. május;0,78;1,44;1,84;0,54;0,70;300;431
2012. június;0,80;1,45;1,82;0,55;0,69;285;414
2012. július;0,81;1,55;1,90;0,53;0,65;281;435
2012. augusztus;0,81;1,54;1,91;0,52;0,65;284;437
2012. szeptember;0,78;1,50;1,93;0,52;0,67;284;425
2012. október;0,77;1,44;1,87;0,53;0,69;283;408
2012. november;0,78;1,48;1,91;0,52;0,67;281;417
2012. december;0,76;1,45;1,90;0,53;0,69;290;420
2013;0,75;1,43;1,90;0,53;0,70;292;418
2013. február;0,75;1,39;1,86;0,54;0,72;295;411
2013. március;0,77;1,47;1,90;0,53;0,68;303;445
2013. április;0,77;1,45;1,89;0,53;0,69;299;433
2013. május;0,77;1,52;1,97;0,51;0,66;296;449
2013. június;0,76;1,47;1,94;0,51;0,68;294;433
2013. július;0,76;1,49;1,95;0,51;0,67;298;443
2013. augusztus;0,75;1,49;1,98;0,50;0,67;300;446
2013. szeptember;0,75;1,48;1,97;0,51;0,68;297;439
2013. október;0,73;1,44;1,97;0,51;0,69;294;424
2013. november;0,74;1,42;1,92;0,52;0,70;301;429
2013. december;0,73;1,41;1,93;0,52;0,71;296;416
2014;0,73;1,43;1,95;0,51;0,70;311;445
2014. február;0,73;1,42;1,94;0,51;0,70;309;440
2014. március;0,72;1,42;1,97;0,51;0,70;306;436
2014. április;0,72;1,43;1,97;0,51;0,70;306;437
2014. május;0,73;1,42;1,96;0,51;0,70;301;429
2014. június;0,74;1,46;1,99;0,50;0,68;309;452
2014. július;0,74;1,45;1,97;0,51;0,69;313;454
2014. augusztus;0,75;1,46;1,94;0,52;0,69;314;457
2014. szeptember;0,78;1,50;1,93;0,52;0,67;310;465
2014. október;0,79;1,54;1,95;0,51;0,65;307;472
2014. november;0,80;1,59;1,98;0,50;0,63;306;486
2014. december;0,81;1,64;2,03;0,49;0,61;316;519
2015;0,86;1,72;2,00;0,50;0,58;310;534
2015. február;0,88;1,74;1,97;0,51;0,57;302;525
2015. március;0,92;1,87;2,03;0,49;0,53;300;562
2015. április;0,92;1,89;2,04;0,49;0,53;303;572
2015. május;0,90;1,78;1,99;0,50;0,56;308;548
2015. június;0,89;1,76;1,97;0,51;0,57;314;551
2015. július;0,91;1,82;2,01;0,50;0,55;307;560
2015. augusztus;0,90;1,82;2,03;0,49;0,55;313;570
2015. szeptember;0,89;1,78;2,00;0,50;0,56;313;558
2015. október;0,89;1,79;2,01;0,50;0,56;310;554
2015. november;0,93;1,93;2,07;0,48;0,52;310;599
2015. december;0,92;1,90;2,07;0,48;0,53;314;596
2016;0,92;1,89;2,05;0,49;0,53;310;585
2016. február;0,90;1,85;2,05;0,49;0,54;309;572
2016. március;0,90;1,83;2,04;0,49;0,55;313;573
2016. április;0,88;1,81;2,05;0,49;0,55;311;563
2016. május;0,88;1,81;2,05;0,49;0,55;313;566
2016. június;0,89;1,84;2,07;0,48;0,54;315;581
2016. július;0,90;1,92;2,13;0,47;0,52;310;596
2016. augusztus;0,89;1,89;2,12;0,47;0,53;309;584
2016. szeptember;0,89;1,87;2,10;0,48;0,53;307;576
2016. október;0,91;1,88;2,07;0,48;0,53;308;578
2016. november;0,93;1,94;2,09;0,48;0,52;312;605
2016. december;0,95;2,03;2,14;0,47;0,49;308;624
2017;0,94;1,95;2,07;0,48;0,51;309;601
2017. február;0,94;1,93;2,05;0,49;0,52;307;592
2017. március;0,94;1,95;2,09;0,48;0,51;308;602
2017. április;0,93;1,95;2,09;0,48;0,51;312;609
2017. május;0,90;1,93;2,14;0,47;0,52;307;594
2017. június;0,89;1,87;2,10;0,48;0,53;308;576
2017. július;0,87;1,83;2,12;0,47;0,55;303;556
2017. augusztus;0,85;1,81;2,14;0,47;0,55;305;552
2017. szeptember;0,84;1,78;2,12;0,47;0,56;311;554
2017. október;0,85;1,79;2,11;0,47;0,56;311;558
2017. november;0,85;1,82;2,13;0,47;0,55;312;566
2017. december;0,84;1,77;2,10;0,48;0,56;310;549
2018;0,82;1,77;2,16;0,46;0,56;309;547
2018. február;0,81;1,80;2,22;0,45;0,56;313;563
2018. március;0,82;1,82;2,22;0,45;0,55;312;568
2018. április;0,85;1,84;2,16;0,46;0,54;313;576
2018. május;0,85;1,85;2,18;0,46;0,54;319;590
2018. június;0,85;1,86;2,19;0,46;0,54;328;610
2018. július;0,86;1,84;2,14;0,47;0,54;320;589
2018. augusztus;0,86;1,87;2,17;0,46;0,53;326;610
2018. szeptember;0,88;1,89;2,15;0,47;0,53;323;610
2018. október;0,88;1,90;2,16;0,46;0,53;324;616
2018. november;0,87;1,93;2,22;0,45;0,52;323;623
2018. december;0,87;1,91;2,20;0,46;0,52;320;611
2019;0,87;1,92;2,21;0,45;0,52;315;605
2019. február;0,87;1,93;2,22;0,45;0,52;315;608
2019. március;0,89;1,92;2,16;0,46;0,52;320;614
2019. április;0,89;1,95;2,19;0,46;0,51;323;630
2019. május;0,89;1,96;2,20;0,45;0,51;325;637
2019. június;0,87;1,97;2,26;0,44;0,51;322;634
2019. július;0,90;1,99;2,21;0,45;0,50;325;647
2019. augusztus;0,90;2,00;2,22;0,45;0,50;331;662
2019. szeptember;0,91;2,01;2,21;0,45;0,50;334;671
2019. október;0,89;1,99;2,24;0,45;0,50;328;653
2019. november;0,90;1,98;2,20;0,45;0,51;334;661
2019. december;0,89;2,00;2,25;0,44;0,50;330;660
2020;0,90;1,99;2,21;0,45;0,50;337;671
2020. február;0,90;2,00;2,22;0,45;0,50;337;674
2020. március;0,90;1,98;2,20;0,45;0,51;360;713
2020. április;0,91;1,99;2,19;0,46;0,50;352;700
2020. május;0,90;2,01;2,23;0,45;0,50;346;695
2020. június;0,89;2,00;2,25;0,44;0,50;354;708
2020. július;0,84;1,97;2,35;0,43;0,51;343;676
2020. augusztus;0,83;1,96;2,36;0,42;0,51;355;696
2020. szeptember;0,85;1,94;2,28;0,44;0,52;363;704
2020. október;0,85;1,93;2,27;0,44;0,52;366;706
2020. november;0,84;1,90;2,26;0,44;0,53;358;680
2020. december;0,82;1,85;2,26;0,44;0,54;362;670
2021;0,82;1,84;2,24;0,45;0,54;357;657
2021. február;0,83;1,83;2,20;0,45;0,55;362;662
2021. március;0,83;1,85;2,23;0,45;0,54;361;668
2021. április;0,85;1,84;2,16;0,46;0,54;359;661
2021. május;0,83;1,85;2,23;0,45;0,54;347;642
2021. június;0,82;1,84;2,24;0,45;0,54;351;646
2021. július;0,84;1,85;2,20;0,45;0,54;357;660
2021. augusztus;0,84;1,86;2,21;0,45;0,54;348;647
2021. szeptember;0,84;1,87;2,23;0,45;0,53;359;671
2021. október;0,86;1,90;2,21;0,45;0,53;359;682
2021. november;0,86;1,95;2,27;0,44;0,51;364;710
2021. december;0,88;1,98;2,25;0,44;0,51;368;729
2022;0,87;2,00;2,30;0,44;0,50;354;708
2022. február;0,88;2,05;2,33;0,43;0,49;371;761
2022. március;0,89;2,10;2,36;0,42;0,48;366;769
2022. április;0,90;2,38;2,64;0,38;0,42;378;900
2022. május;0,94;2,40;2,55;0,39;0,42;397;953
2022. június;0,93;2,35;2,53;0,40;0,43;396;931
2022. július;0,96;2,32;2,42;0,41;0,43;404;937
2022. augusztus;0,99;2,34;2,36;0,42;0,43;400;936
2022. szeptember;1,02;2,33;2,28;0,44;0,43;423;986
2022. október;1,00;2,39;2,39;0,42;0,42;409;978
2022. november;1,01;2,40;2,38;0,42;0,42;408;979
2022. december;0,95;2,35;2,47;0,40;0,43;399;938
2023;0,94;2,36;2,52;0,40;0,42;394;930
2023. február;0,93;2,30;2,48;0,40;0,43;393;904
2023. március;0,93;2,31;2,50;0,40;0,43;392;906
2023. április;0,92;2,30;2,49;0,40;0,43;383;881
2023. május;0,91;2,34;2,58;0,39;0,43;382;894
2023. június;0,92;2,29;2,49;0,40;0,44;379;868
2023. július;0,95;2,32;2,45;0,41;0,43;382;886
2023. augusztus;0,95;2,34;2,47;0,40;0,43;388;908
2023. szeptember;0,92;2,37;2,57;0,39;0,42;380;901
2023. október;0,91;2,39;2,63;0,38;0,42;386;923
2023. november;0,92;2,40;2,62;0,38;0,42;372;893
2023. december;0,94;2,43;2,60;0,38;0,41;370;899
2024;0,91;2,41;2,66;0,38;0,41;373;899
2024. február;0,92;2,39;2,59;0,39;0,42;379;906
2024. március;0,95;2,32;2,45;0,41;0,43;378;877
2024. április;0,92;2,34;2,54;0,39;0,43;390;913
2024. május;0,92;2,33;2,53;0,40;0,43;388;904
2024. június;0,93;2,35;2,52;0,40;0,43;394;926
2024. július;0,92;2,35;2,54;0,39;0,43;394;926
2024. augusztus;0,90;2,34;2,60;0,38;0,43;392;917
2024. szeptember;0,89;2,33;2,62;0,38;0,43;396;923
2024. október;0,91;2,35;2,58;0,39;0,43;408;959
2024. november;0,94;2,34;2,49;0,40;0,43;412;964
2024. december;0,96;2,35;2,45;0,41;0,43;411;966
